satelite_id,Datetime,a0,a1,a2,IODEC,C_rs,Delta n,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,Spare1,IRN Week,Spare2,User Range accurracy,Health,TGD,Spare3,t_tm
I02,2024-10-13 23:50:24,0.00045219669118520004,1.830358087318e-11,0.0,160.0,124.3125,4.947348934084e-09,0.00892957295827,4.056841135025e-06,0.002008340554312,-1.231953501701e-05,6493.45942688,85824.0,-8.568167686462001e-08,-2.290257883097,-2.0861625671389998e-07,0.5095434122312,459.12499999999994,-3.065704183456,-4.53161733148e-09,-7.000291590243e-11,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,86160.0
I02,2024-10-14 00:05:36,0.0004522111266851,1.648459146963e-11,0.0,161.0,125.4375,4.924490839096e-09,0.07540777280785001,4.0903687477109995e-06,0.002008885960095,-1.242384314537e-05,6493.460897446,86736.0,-6.332993507385e-08,-2.290261971953,-1.974403858185e-07,0.5095433800470001,462.625,-3.065675756032,-4.511616498365e-09,-7.178870457341e-11,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,87072.0
I02,2024-10-14 00:20:48,0.0004522278904915,1.887201506179e-11,0.0,162.0,128.0625,4.9002041131700005e-09,0.1419125685081,4.16487455368e-06,0.002009334159084,-1.2580305337910002e-05,6493.461902618,87647.99999999999,-4.842877388e-08,-2.290266019847,-1.825392246246e-07,0.5095434312492001,467.81249999999994,-3.065674181932,-4.49590155806e-09,-7.357449324439e-11,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,87936.0
I02,2024-10-14 00:36:00,0.00045224186033010006,1.591615728103e-11,0.0,163.0,132.625,4.875917387245e-09,0.20830777701500003,4.298985004425e-06,0.002009834977798,-1.2766569852830003e-05,6493.463005066,88560.0,-3.725290298462e-08,-2.29027007213,-1.676380634308e-07,0.5095434034537,474.125,-3.065562716352,-4.481615248692001e-09,-7.607459738376999e-11,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,88752.0
I02,2024-10-14 00:50:24,0.00045225769281390007,1.909938873723e-11,0.0,164.0,138.9375,4.85163066132e-09,0.27122127414040004,4.4777989387510005e-06,0.002010939992033,-1.2960284948350002e-05,6493.465967178,89423.99999999999,-3.3527612686160006e-08,-2.290273861088,-1.564621925354e-07,0.5095434371008001,480.62500000000006,-3.065470417925,-4.471614832135e-09,-7.786038605475e-11,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,89616.0
I02,2024-10-14 01:05:36,0.0004522735252976,1.739408617141e-11,0.0,165.0,147.75,4.827343935394001e-09,0.3375171709906,4.731118679047e-06,0.002011643140577,-1.316145062447e-05,6493.46767807,90336.0,-3.3527612686160006e-08,-2.29027788265,-1.4528632163999998e-07,0.5095434005279,487.24999999999994,-3.065259727,-4.465900308388e-09,-8.000333245991999e-11,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,90528.0
I02,2024-10-14 01:20:48,0.00045229122042660005,1.9326762412669998e-11,0.0,166.0,158.75,4.810200364153001e-09,0.4036060064159,5.047768354416e-06,0.002014193800278,-1.3336539268490002e-05,6493.4754924769995,91248.0,-3.725290298462e-08,-2.290282120723,-1.415610313416e-07,0.5095431064814,492.9375,-3.064842728053,-4.468757570261001e-09,-8.21462788651e-11,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,91440.0
I02,2024-10-14 01:36:00,0.0004523061215878,1.602984411875e-11,0.0,167.0,170.875,4.791628161975e-09,0.4700300329461,5.405396223068e-06,0.002013296238147,-1.3474375009540001e-05,6493.47205925,92160.0,-4.4703483581540004e-08,-2.290285931625,-1.4528632163999998e-07,0.5095433069011001,497.31249999999994,-3.064760021979,-4.471614832135e-09,-8.21462788651e-11,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,92304.0
I02,2024-10-14 01:50:24,0.0004523200914264,1.68256519828e-11,0.0,168.0,183.25,4.77591322167e-09,0.5327492311439,5.766749382019e-06,0.002014414989389,-1.35600566864e-05,6493.475212097,93024.0,-4.842877388e-08,-2.290289803969,-1.527369022369e-07,0.5095432396069,499.8125,-3.064473639673,-4.477329355882e-09,-8.107480566251e-11,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,93216.0
I02,2024-10-14 02:05:36,0.0004523363895714,1.762145984685e-11,0.0,169.0,196.5,4.7644841741760005e-09,0.5988389472458,6.157904863358e-06,0.002015511039644,-1.3593584299090001e-05,6493.478664398001,93936.0,-4.4703483581540004e-08,-2.290294162002,-1.676380634308e-07,0.5095429675041,500.5,-3.064057022548,-4.4873297724400005e-09,-7.821754378894e-11,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,94128.0
I02,2024-10-14 02:20:48,0.0004523526877165,1.8530954548619997e-11,0.0,170.0,209.24999999999997,4.755912388555001e-09,0.6649727074224,6.545335054397999e-06,0.002016404177994,-1.35749578476e-05,6493.481492995999,94848.0,-4.0978193283079996e-08,-2.290298364966,-1.899898052216e-07,0.5095428563224,499.3125,-3.063684802061,-4.500187450871e-09,-7.32173355102e-11,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,95040.0
I02,2024-10-14 02:36:00,0.0004523661918938,1.5688783605579997e-11,0.0,171.0,221.0,4.751626495745e-09,0.7310542721448,6.90296292305e-06,0.0020171538926660004,-1.3504177331920002e-05,6493.4842300420005,95760.0,-2.2351741790770002e-08,-2.290302655704,-2.123415470123e-07,0.5095427173451,496.43750000000006,-3.063260217884,-4.5159023911749995e-09,-6.643133856047e-11,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,95963.99999999999
I02,2024-10-14 02:50:24,0.0004523806273937,1.750777300913e-11,0.0,172.0,230.8125,4.750197864808001e-09,0.7937540179209001,7.204711437225e-06,0.0020177063997830003,-1.3396143913270002e-05,6493.486118317,96624.0,-3.725290298462e-09,-2.29030670945,-2.3096799850459997e-07,0.5095426193296001,492.5625,-3.062954429969,-4.533045962417e-09,-5.7859552939769995e-11,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,96876.0
I02,2024-10-14 03:05:36,0.0004523932002485,1.5120349416969998e-11,0.0,173.0,239.5625,4.750197864808001e-09,0.8597279645377001,7.480382919312e-06,0.002018419792876,-1.3262033462520001e-05,6493.489500045999,97536.0,2.9802322387700004e-08,-2.290311109908,-2.458691596985e-07,0.5095424598716,487.75000000000006,-3.062422148689,-4.5516181645950004e-09,-4.6073347711289994e-11,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,97788.0
I02,2024-10-14 03:20:48,0.00045240856707100003,1.61435309565e-11,0.0,174.0,246.25,4.7544837576200005e-09,0.926186012691,7.696449756619999e-06,0.00201839767396,-1.31130218506e-05,6493.489097600001,98448.0,7.07805156708e-08,-2.29031513878,-2.57045030594e-07,0.509542500833,482.56249999999994,-3.0623747165,-4.570190366770001e-09,-3.2858511546e-11,0.0,2336.0,,2.0,0.0,-1.8626451492300002e-09,,98652.0
I02,2024-10-14 03:36:00,0.0004524239338934,1.7166712495959998e-11,0.0,175.0,251.1875,4.760198281365e-09,0.9923371552600001,7.856637239455999e-06,0.0020189607748760004,-1.296401023865e-05,6493.491523743,99360.0,1.1548399925229999e-07,-2.290319736736,-2.5704503059389997e-07,0.5095423530785,477.625,-3.062020132949,-4.5873339380150005e-09,-1.7857886709799998e-11,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,99564.0
I02,2024-10-14 03:50:24,0.00045243743807080005,1.68256519828e-11,0.0,176.0,254.37500000000003,4.765912805113001e-09,1.055073415471,7.960945367813e-06,0.002019215840846,-1.2841075658800002e-05,6493.493040085,100224.0,1.564621925354e-07,-2.290324306892,-2.458691596985e-07,0.5095421863059001,473.4375,-3.061750612237,-4.603048878319e-09,-2.142946405177e-12,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,100476.00000000001
I02,2024-10-14 04:05:36,0.00045245001092600003,1.52340362547e-11,0.0,177.0,256.4375,4.7730559598e-09,1.12152610788,8.03172588348e-06,0.00201926752925,-1.27367675304e-05,6493.493133540001,101136.0,2.0116567611699998e-07,-2.29032840599,-2.2351741790799998e-07,0.509542238971,469.9375,-3.06169800131,-4.61733518769e-09,1.50006248362e-11,0.0,2336.0,,2.0,0.0,-1.8626451492300002e-09,,101340.00000000001
I02,2024-10-14 04:20:48,0.000452463980764,1.60298441187e-11,0.0,178.0,257.5625,4.77877048354e-09,1.18795439735,8.06152820587e-06,0.0020192785887000004,-1.2665987014800001e-05,6493.49334145,102048.0,2.38418579102e-07,-2.29033308879,-1.9371509551999997e-07,0.5095421746030001,467.5625,-3.06162036425,-4.62876423518e-09,3.3572827014399997e-11,0.0,2336.0,,2.0,0.0,-1.8626451492300002e-09,,102252.00000000001
I02,2024-10-14 04:36:00,0.00045248121023200007,1.89857018995e-11,0.0,179.0,258.0625,4.783056376350001e-09,1.25430278956,8.07270407677e-06,0.00201951467898,-1.2636184692400002e-05,6493.494487759999,102960.0,2.71946191788e-07,-2.29033771307,-1.5646219253499998e-07,0.5095421541220001,466.24999999999994,-3.06146321905,-4.6387646517400005e-09,5.25021869268e-11,0.0,2336.0,,2.0,0.0,-1.8626451492300002e-09,,103163.99999999999
I02,2024-10-14 04:50:24,0.00045249238610270003,1.4097167877479998e-11,0.0,180.0,258.125,4.785913638228e-09,1.317167333055,8.06525349617e-06,0.0020194344688210003,-1.264736056328e-05,6493.495227814,103824.0,2.942979335785e-07,-2.290342177899,-1.1548399925229999e-07,0.5095421555846,466.06249999999994,-3.061321949444,-4.644479175486001e-09,7.071723137082e-11,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,104075.99999999999
I02,2024-10-14 05:05:36,0.000452504493296,1.47792889038e-11,0.0,181.0,257.875,4.78734226916e-09,1.38380069292,8.05407762527e-06,0.00201943458524,-1.2680888176000002e-05,6493.49443626,104736.0,3.12924385071e-07,-2.29034698212,-6.70552253723e-08,0.50954210292,466.375,-3.06144947201,-4.65019369923e-09,8.857511808059999e-11,0.0,2336.0,,2.0,0.0,-1.8626451492300002e-09,,104987.99999999999
I02,2024-10-14 05:20:48,0.0004525203257800001,1.60298441187e-11,0.0,182.0,257.875,4.78734226916e-09,1.45043195204,8.04662704468e-06,0.00201932888012,-1.2774020433400001e-05,6493.49371338,105648.00000000001,3.16649675369e-07,-2.29035119972,-2.23517417908e-08,0.509542198009,468.31250000000006,-3.06157520397,-4.65019369923e-09,1.07147320259e-10,0.0,2336.0,,2.0,0.0,-1.8626451492300002e-09,,105851.99999999999
I02,2024-10-14 05:36:00,0.00045253615826400007,1.73940861714e-11,0.0,183.0,258.0625,4.78448500729e-09,1.51697942837,8.05035233498e-06,0.00201944238506,-1.2911856174500002e-05,6493.49369812,106560.00000000001,3.12924385071e-07,-2.29035597322,1.86264514923e-08,0.509542290173,471.1875,-3.06161702734,-4.65019369923e-09,1.24648049234e-10,0.0,2336.0,,2.0,0.0,-1.8626451492300002e-09,,106763.99999999999
I02,2024-10-14 05:50:24,0.00045255059376400007,1.76214598469e-11,0.0,184.0,258.5625,4.78019911448e-09,1.58016140754,8.07642936707e-06,0.00201946427114,-1.30757689476e-05,6493.49280548,107424.00000000001,3.01748514175e-07,-2.29036028883,5.960464477540001e-08,0.509542405744,474.8125,-3.06179365568,-4.64733643736e-09,1.39648674071e-10,0.0,2336.0,,2.0,0.0,-1.8626451492300002e-09,,107627.99999999999
I02,2024-10-14 06:05:36,0.000452565960586,1.69393388205e-11,0.0,185.0,259.5,4.77591322167e-09,1.64687941477,8.128583431239998e-06,0.00201947172172,-1.3284385204300002e-05,6493.49180412,108336.00000000001,2.86847352982e-07,-2.29036490141,9.31322574615e-08,0.509542552035,479.62499999999994,-3.06200585926,-4.643050544550001e-09,1.5429214117300002e-10,0.0,2336.0,,2.0,0.0,-1.8626451492300002e-09,,108539.99999999999
I02,2024-10-14 06:20:48,0.00045258086174700005,1.65982783074e-11,0.0,186.0,261.125,4.77019869792e-09,1.71370804787,8.21426510811e-06,0.0020194974495100003,-1.35228037834e-05,6493.49011421,109247.99999999999,2.68220901489e-07,-2.29036918629,1.19209289551e-07,0.509542704179,485.375,-3.0623288745,-4.6387646517400005e-09,1.6607834640100002e-10,0.0,2336.0,,2.0,0.0,-1.8626451492300002e-09,,109452.0
I02,2024-10-14 06:36:00,0.0004525976255536001,1.830358087318e-11,0.0,187.0,263.75,4.7673414360489995e-09,1.780442473433,8.344650268555e-06,0.0020196026889610003,-1.3791024684910002e-05,6493.48913765,110159.99999999999,2.533197402954e-07,-2.290373712561,1.3783574104309998e-07,0.5095428885066,492.12499999999994,-3.06255756809,-4.633050127992001e-09,1.753644474903e-10,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,110412.0
I02,2024-10-14 06:50:24,0.00045261252671500003,1.73940861714e-11,0.0,188.0,267.375,4.765912805110001e-09,1.84383389712,8.516013622279999e-06,0.00201970501803,-1.40592455864e-05,6493.487209319999,111023.99999999999,2.4214386939999996e-07,-2.29037761563,1.49011611938e-07,0.509543031873,499.3125,-3.06294365558,-4.63019286612e-09,1.8215044444e-10,0.0,2336.0,,2.0,0.0,-1.8626451492300002e-09,,111276.0
I02,2024-10-14 07:05:36,0.0004526260308921,1.614353095647e-11,0.0,189.0,272.1875,4.7644841741760005e-09,1.910668064434,8.732080459595e-06,0.002019787090831,-1.4320015907290002e-05,6493.485740662,111935.99999999999,2.197921276093e-07,-2.290382166765,1.788139343262e-07,0.5095432074227001,506.68749999999994,-3.063271657903,-4.624478342371e-09,1.932223342001e-10,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,112188.0
I02,2024-10-14 07:20:48,0.00045264186337599997,1.60298441187e-11,0.0,190.0,279.375,4.76877006699e-09,1.97759445411,9.02637839317e-06,0.00201994064264,-1.4606863260300002e-05,6493.48382759,112848.0,2.08616256714e-07,-2.29038650871,1.8998980522199998e-07,0.5095434151570001,515.3125,-3.06369197767,-4.62304971143e-09,1.97865384745e-10,0.0,2336.0,,2.0,0.0,-1.8626451492300002e-09,,113052.0
I02,2024-10-14 07:36:00,0.00045265816152099996,1.7507773009099998e-11,0.0,191.0,288.625,4.77591322167e-09,2.04465595597,9.38400626183e-06,0.00202040118165,-1.4875084161800002e-05,6493.48088455,113760.0,1.9371509551999997e-07,-2.29039073508,1.9744038581799999e-07,0.509543618503,523.75,-3.06424764224,-4.620192449560001e-09,2.02865593023e-10,0.0,2336.0,,2.0,0.0,-1.8626451492300002e-09,,113964.0
I02,2024-10-14 07:50:24,0.00045267399400470006,1.830358087318e-11,0.0,192.0,299.25,4.781627745417001e-09,2.108218094877,9.775161743164e-06,0.0020210556685920002,-1.509860157967e-05,6493.477596283,114623.99999999999,1.7508864402769998e-07,-2.290394804914,2.0489096641539998e-07,0.5095437984416,531.1875,-3.06480427964,-4.6130492948770005e-09,2.092944322389e-10,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,114876.0
