satelite_id,Datetime,a0,a1,a2,X,Vx,ax,Health,Y,Vy,ay,Frequency number,Z,Vz,az,Age of operation
R16,2024-10-15 22:45:00,2.9976479709150003e-05,0.0,253799.99999999997,16960.52441406,-1.39351940155,3.725290298462e-09,0.0,14833.17431641,-0.8671245574951,-1.862645149231e-09,-1.0,-11913.396972659999,-3.064135551453,1.862645149231e-09,0.0
R16,2024-10-15 23:15:00,2.9976479709150003e-05,0.0,255600.0,13755.492675779999,-2.149801254272,1.862645149231e-09,0.0,13228.68212891,-0.8733758926392,-1.862645149231e-09,-1.0,-16895.73193359,-2.435787200928,2.793967723846e-09,0.0
R16,2024-10-15 23:45:00,2.9976479709150003e-05,0.0,257399.99999999997,9317.605957031,-2.746233940125,0.0,0.0,11828.97265625,-0.6477499008179,-1.862645149231e-09,-1.0,-20568.840332030002,-1.618947982788,2.793967723846e-09,0.0
R17,2024-10-14 23:45:00,0.000130825676024,2.728484105319e-12,171000.0,-14520.99609375,-0.5037727355957,-4.6566128730770005e-09,0.0,19791.304199219998,0.8166055679321,9.313225746155e-10,4.0,6856.2578125,-3.435732841492,-0.0,0.0
R17,2024-10-15 00:15:00,0.0001308312639594,2.728484105319e-12,172800.0,-14833.89160156,0.12976837158200002,-4.6566128730770005e-09,0.0,20713.33203125,0.1747722625732,1.862645149231e-09,4.0,486.25683593750006,-3.595964431763,0.0,0.0
R17,2024-10-15 00:45:00,0.0001308368518949,2.728484105319e-12,174600.0,-14172.89160156,0.5661191940308,-4.6566128730770005e-09,0.0,20328.54248047,-0.6193399429321,2.793967723846e-09,4.0,-5921.422851562,-3.477283477783,9.313225746155e-10,0.0
R17,2024-10-15 01:15:00,0.0001308424398303,2.728484105319e-12,176400.0,-12946.75732422,0.7525119781494001,-3.725290298462e-09,0.0,18456.71630859,-1.458074569702,2.793967723846e-09,4.0,-11869.63671875,-3.088774681091,1.862645149231e-09,0.0
R17,2024-10-15 01:45:00,0.00013084709644320001,2.728484105319e-12,178200.0,-11619.369628909999,0.6812620162964,-2.793967723846e-09,0.0,15123.880859379999,-2.223093032837,2.793967723846e-09,4.0,-16896.89550781,-2.460706710815,1.862645149231e-09,0.0
R17,2024-10-15 02:15:00,0.0001308526843786,2.728484105319e-12,180000.0,-10626.689941409999,0.3905391693115,-9.313225746155e-10,0.0,10564.15429688,-2.804726600647,2.793967723846e-09,4.0,-20613.559082030002,-1.642102241516,2.793967723846e-09,0.0
R17,2024-10-15 02:45:00,0.0001308582723141,2.728484105319e-12,181800.0,-10299.41601562,-0.04263687133789001,-0.0,0.0,5187.557128906,-3.119902610779,1.862645149231e-09,4.0,-22732.24023438,-0.6967859268188,2.793967723846e-09,0.0
R17,2024-10-15 03:15:00,0.00013086386024950002,2.728484105319e-12,183600.0,-10804.42041016,-0.5159521102905,9.313225746155e-10,0.0,-480.87744140620003,-3.125645637512,0.0,4.0,-23089.995605469998,0.3017196655273,2.793967723846e-09,0.0
R17,2024-10-15 03:45:00,0.0001308703795075,2.728484105319e-12,185400.0,-12114.782226559999,-0.9195528030396001,9.313225746155e-10,0.0,-5880.54296875,-2.825915336609,-9.313225746155e-10,4.0,-21660.62695312,1.276000976562,2.793967723846e-09,0.0
R17,2024-10-15 04:15:00,0.000130875967443,2.728484105319e-12,187200.0,-14013.34326172,-1.155006408691,1.862645149231e-09,0.0,-10500.12207031,-2.270712852478,-2.793967723846e-09,4.0,-18556.25146484,2.150784492493,1.862645149231e-09,0.0
R17,2024-10-15 04:45:00,0.000130882486701,2.728484105319e-12,189000.0,-16129.06689453,-1.152276039124,9.313225746155e-10,0.0,-13953.923828120001,-1.547654151917,-4.6566128730770005e-09,4.0,-14018.174316409999,2.858722686768,9.313225746155e-10,0.0
R17,2024-10-15 05:15:00,0.000130889005959,2.728484105319e-12,190800.0,-18000.019042969998,-0.8819141387939,0.0,0.0,-16037.300781249998,-0.7674722671509,-5.587935447693e-09,4.0,-8397.882324219,3.345517158508,0.0,0.0
R17,2024-10-15 05:45:00,0.0001308955252171,3.637978807092e-12,192600.0,-19152.42089844,-0.3604803085327,-9.313225746155e-10,0.0,-16752.25439453,-0.045868873596190005,-6.519258022308e-09,4.0,-2129.704589844,3.57399559021,-0.0,0.0
R17,2024-10-15 06:15:00,0.00013090204447510002,3.637978807092e-12,194400.0,-19182.61181641,0.3516798019409,-1.862645149231e-09,0.0,-16299.29931641,0.5153121948242,-5.587935447693e-09,4.0,4302.7109375,3.52686882019,-9.313225746155e-10,0.0
R17,2024-10-15 06:45:00,0.0001309085637331,3.637978807092e-12,196200.0,-17828.33935547,1.159910202026,-2.793967723846e-09,0.0,-15037.19287109,0.8444709777832,-5.587935447693e-09,4.0,10403.537597659999,3.207967758179,-1.862645149231e-09,0.0
R17,2024-10-15 07:15:00,0.0001309150829911,3.637978807092e-12,198000.0,-15017.56738281,1.950390815735,-2.793967723846e-09,0.0,-13417.380859379999,0.9115676879883001,-3.725290298462e-09,4.0,15702.70654297,2.641889572144,-2.793967723846e-09,0.0
