satelite_id,Datetime,a0,a1,a2,AODE,C_rs,Delta n,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,Spare1,BDT Week,Spare2,SV accurracy,SatH1,TGD1,TGD2,t_tm,AODC
C01,2024-08-22 00:00:00,0.0009167381795120002,2.7773339184e-12,0.0,1.0,-873.203125,1.8911502025700002e-09,-2.26937627967,-2.87955626845e-05,0.000285349902697,1.0113697499e-05,6493.517322539999,345600.0,-6.70552253723e-08,2.92241365291,-1.35041773319e-08,0.09833882205809999,-317.25,1.93520148736,-8.31106047474e-10,9.893269237229999e-11,0.0,972.0000000000001,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,345600.0,0.0
C01,2024-08-22 01:00:00,0.000916747958399,2.74980038739e-12,0.0,1.0,-668.5625,2.1525896640000002e-09,-1.98359237581,-2.2164080292000004e-05,0.00028325000312200003,1.9609462469800002e-05,6493.53402138,349200.0,-1.07567757368e-07,-3.1305921738,-1.9092112779599998e-08,0.0914609668364,-601.421875,1.68170633745,-1.19862135596e-09,8.571785620709999e-11,0.0,972.0000000000001,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,349200.0,0.0
C01,2024-08-22 02:00:00,0.0009167577372860001,2.73558953268e-12,0.0,1.0,-330.640625,2.1600899764200004e-09,-1.69579401619,-1.1076685041200002e-05,0.000283039291389,2.54199840128e-05,6493.55126953,352800.0,-8.66129994392e-08,-2.88350031873,-2.84053385258e-08,0.0840546119777,-773.171875,1.40936792348,-1.31041172677e-09,6.893144269979999e-11,0.0,972.0000000000001,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,352800.0,0.0
C01,2024-08-22 03:00:00,0.000916767632589,2.73736588952e-12,0.0,1.0,92.96875,2.03508476945e-09,-1.41666223783,2.91084870696e-06,0.00028420228045400003,2.59173102677e-05,6493.56294441,356400.0,-4.19095158577e-08,-2.61368843011,-3.67872416973e-08,0.0765488957231,-784.078125,1.12305588717,-1.2546951202300003e-09,4.8930609584899995e-11,0.0,972.0000000000001,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,356400.0,0.0
C01,2024-08-22 04:00:00,0.0009167771786450001,2.6929569685299998e-12,0.0,1.0,512.796875,1.7286434335100002e-09,-1.1520840425,1.6826204955600002e-05,0.000284406822175,1.95861794055e-05,6493.564394,360000.0,1.9557774066900002e-08,-2.31462065662,-5.77419996262e-08,0.0695074921118,-590.53125,0.8221129145660001,-9.518253616330001e-10,2.85726187357e-11,0.0,972.0000000000001,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,360000.0,0.0
C01,2024-08-22 05:00:00,0.000916787190363,2.7382540679399996e-12,0.0,1.0,786.46875,1.36077096729e-09,-0.898091025005,2.59233638644e-05,0.000281768734567,6.0508027672800004e-06,6493.55576324,363600.0,4.79631125927e-08,-1.98109249312,-9.732320904730001e-08,0.063641152578,-181.015625,0.49735358443,-5.26807657939e-10,1.2143362962699999e-11,0.0,972.0000000000001,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,363600.0,0.0
C01,2024-08-22 06:00:00,0.0009167972020800001,2.75957035001e-12,0.0,1.0,752.671875,1.10004582132e-09,-0.646850247955,2.48062424362e-05,0.000276107341051,-1.1244788765900001e-05,6493.54013252,367200.0,4.19095158577e-09,-1.61395730652,-1.24331563711e-07,0.05974831732870001,340.515625,0.141781890425,-1.63935399996e-10,2.85726187357e-12,0.0,972.0000000000001,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,367200.0,0.0
C01,2024-08-22 07:00:00,0.0009168073302130001,2.7862157025999997e-12,0.0,2.0,358.546875,8.68250451831e-10,-0.39066375157,1.17127783597e-05,0.000269946176559,-2.42693349719e-05,6493.524713520001,370800.0,-7.72997736931e-08,-1.22568698109,-1.02911144495e-07,0.058507692577399996,734.453125,-0.23984751106900004,1.6750697733800001e-10,5.0002082787499994e-12,0.0,972.0000000000001,0.0,2.0,1.0,-5.1999999861600005e-09,-9.7e-09,370800.0,0.0
C01,2024-08-22 08:00:00,0.000916817341931,2.77466938314e-12,0.0,3.0,-216.78125,5.118070331030001e-10,-0.12849806468900002,-7.34347850084e-06,0.000266247894615,-2.5220680981900002e-05,6493.51579475,374400.0,-1.44820660353e-07,-0.8392459132979999,-5.3085386753100004e-08,0.0601674301921,765.5625,-0.625625821381,5.85381526347e-10,2.7501145533099998e-11,0.0,972.0000000000001,0.0,2.0,1.0,-5.1999999861600005e-09,-9.7e-09,374400.0,0.0
C01,2024-08-22 09:00:00,0.000916826887988,2.7275959269e-12,0.0,4.0,-686.609375,-3.89301930274e-11,0.13225275658400001,-2.2755470126900003e-05,0.000267752679065,-1.4115590602200002e-05,6493.51959419,378000.0,-1.9883736968e-07,-0.47659199880400005,-2.9802322387700004e-08,0.06439975313679999,432.90625,-0.98622383273,1.1143321306900001e-09,8.000333245989999e-11,0.0,972.0000000000001,0.0,2.0,1.0,-5.1999999861600005e-09,-9.7e-09,378000.0,0.0
