satelite_id,Datetime,a0,a1,a2,X,Vx,ax,Health,Y,Vy,ay,Frequency number,Z,Vz,az,Age of operation
R01,2024-09-25 23:45:00,9.897165000439e-05,9.094947017729001e-13,343800.0,7520.876464844,0.07869529724121,-0.0,0.0,17942.027832030002,2.26007270813,-9.313225746155e-10,1.0,-16500.20068359,2.494878768921,2.793967723846e-09,0.0
R01,2024-09-26 00:15:00,9.897444397211002e-05,9.094947017729001e-13,345600.0,7912.640136719,0.3226642608643,-9.313225746155e-10,0.0,21386.96679688,1.537521362305,-0.0,1.0,-11429.60888672,3.102560997009,2.793967723846e-09,0.0
R01,2024-09-26 00:45:00,9.897630661726e-05,9.094947017729001e-13,347400.0,8545.222167969,0.33930301666260004,-9.313225746155e-10,0.0,23399.98876953,0.6870737075806,9.313225746155e-10,1.0,-5475.213378906,3.470479011536,2.793967723846e-09,0.0
R01,2024-09-26 01:15:00,9.897816926241e-05,9.094947017729001e-13,349200.0,8984.991210938,0.1089124679565,-9.313225746155e-10,0.0,23852.20849609,-0.177077293396,1.862645149231e-09,1.0,902.6708984375,3.570022583008,1.862645149231e-09,0.0
R01,2024-09-26 01:45:00,9.89809632301e-05,9.09494701773e-13,351000.0,8803.532226559999,-0.34303283691400005,0.0,0.0,22823.2719727,-0.940582275391,2.79396772385e-09,1.0,7210.71386719,3.39336681366,1.8626451492300002e-09,0.0
R01,2024-09-26 02:15:00,9.89828258753e-05,9.09494701773e-13,352800.0,7656.55273437,-0.949812889099,0.0,0.0,20584.8544922,-1.50732707977,3.7252902984600004e-09,1.0,12960.825683599998,2.95412445068,9.31322574615e-10,0.0
R01,2024-09-26 02:45:00,9.898468852040001e-05,9.09494701773e-13,354600.0,5349.25048828,-1.6143655777,9.31322574615e-10,0.0,17553.3623047,-1.81476688385,3.7252902984600004e-09,1.0,17708.0532227,2.28629970551,0.0,0.0
R01,2024-09-26 03:15:00,9.898655116560001e-05,9.09494701773e-13,356400.0,1877.06640625,-2.22534656525,1.8626451492300002e-09,0.0,14219.765625,-1.84364700317,2.79396772385e-09,1.0,21085.115234399997,1.44162273407,0.0,0.0
R01,2024-09-26 03:45:00,9.89893451333e-05,9.09494701773e-13,358200.0,-2565.14453125,-2.67565917969,1.8626451492300002e-09,0.0,11068.2836914,-1.6204957962,1.8626451492300002e-09,1.0,22830.8574219,0.48550701141400004,-9.31322574615e-10,0.0
R01,2024-09-26 04:15:00,9.89912077785e-05,9.09494701773e-13,360000.0,-7607.19384766,-2.88035678864,1.8626451492300002e-09,0.0,8497.47021484,-1.21251106262,9.31322574615e-10,1.0,22810.421875000004,-0.508044242859,-1.8626451492300002e-09,0.0
R01,2024-09-26 04:45:00,9.899307042360001e-05,9.09494701773e-13,361800.0,-12757.0517578,-2.7909526825,9.31322574615e-10,0.0,6756.77832031,-0.715720176697,0.0,1.0,21025.6118164,-1.46217727661,-1.8626451492300002e-09,0.0
R01,2024-09-26 05:15:00,9.899493306875001e-05,9.094947017729001e-13,363600.0,-17475.020019530002,-2.403770446777,9.313225746155e-10,0.0,5909.061523438,-0.23840999603270002,0.0,1.0,17614.67822266,-2.303116798401,-1.862645149231e-09,0.0
R01,2024-09-26 05:45:00,9.89967957139e-05,9.094947017729001e-13,365400.0,-21256.43896484,-1.760948181152,0.0,0.0,5825.123535156,0.1174077987671,-9.313225746155e-10,1.0,12841.583496090001,-2.965866088867,-1.862645149231e-09,0.0
R01,2024-09-26 06:15:00,9.899958968163001e-05,9.094947017729001e-13,367200.0,-23709.37744141,-0.9439277648926,0.0,0.0,6211.0859375,0.2734155654907,-9.313225746155e-10,1.0,7075.555175781,-3.399221420288,-1.862645149231e-09,0.0
R01,2024-09-26 06:45:00,9.900145232677e-05,9.094947017729001e-13,369000.0,-24614.536621090003,-0.06047916412354,-9.313225746155e-10,0.0,6663.90234375,0.18840026855470002,-9.313225746155e-10,1.0,762.5,-3.569739341736,-1.862645149231e-09,0.0
R01,2024-09-26 07:15:00,9.900331497191999e-05,9.094947017729001e-13,370800.0,-23957.53173828,0.7725839614868,-1.862645149231e-09,0.0,6745.644042969,-0.13459110260010002,-9.313225746155e-10,1.0,-5609.514648438,-3.464323043823,-9.313225746155e-10,0.0
R01,2024-09-26 07:45:00,9.900610893965e-05,9.094947017729001e-13,372600.0,-21928.27441406,1.448159217834,-2.793967723846e-09,0.0,6064.059082031,-0.6485404968262001,-0.0,1.0,-11548.030761720001,-3.091217041016,-9.313225746155e-10,0.0
R01,2024-09-26 08:15:00,9.900797158480001e-05,9.094947017729001e-13,374400.0,-18887.63769531,1.885943412781,-2.793967723846e-09,0.0,4345.846191406,-1.270144462585,0.0,1.0,-16594.25976562,-2.479338645935,-0.0,0.0
R01,2024-09-26 08:45:00,9.901076555252002e-05,9.094947017729001e-13,376200.0,-15307.015625,2.045043945312,-2.793967723846e-09,0.0,1490.327148438,-1.893602371216,0.0,1.0,-20358.47558594,-1.676000595093,0.0,0.0
R01,2024-09-26 09:15:00,9.901355952024e-05,9.094947017729001e-13,378000.0,-11690.844726559999,1.930032730103,-2.793967723846e-09,0.0,-2405.5361328120002,-2.408212661743,9.313225746155e-10,1.0,-22550.00585938,-0.743236541748,9.313225746155e-10,0.0
R01,2024-09-26 09:45:00,9.901542216539e-05,9.094947017729001e-13,379800.0,-8494.935546875,1.589493751526,-1.862645149231e-09,0.0,-7055.047363281,-2.716855049133,1.862645149231e-09,1.0,-22999.563964840003,0.24698352813720004,9.313225746155e-10,0.0
R01,2024-09-26 10:15:00,9.901821613312001e-05,9.094947017729001e-13,381600.0,-6054.072753906001,1.107323646545,-9.313225746155e-10,0.0,-12021.455566409999,-2.75230884552,1.862645149231e-09,1.0,-21672.25634766,1.218263626099,1.862645149231e-09,0.0
R01,2024-09-26 10:45:00,9.902007877827001e-05,9.094947017729001e-13,383400.0,-4530.770507812,0.5882558822632,-0.0,0.0,-16783.00732422,-2.488744735718,9.313225746155e-10,1.0,-18670.31201172,2.095621109009,1.862645149231e-09,0.0
R01,2024-09-26 11:15:00,9.902287274599002e-05,9.094947017729001e-13,385200.0,-3893.557128906,0.139988899231,0.0,0.0,-20812.82324219,-1.946464538574,9.313225746155e-10,1.0,-14225.31787109,2.811234474182,1.862645149231e-09,0.0
R01,2024-09-26 11:45:00,9.902473539114001e-05,9.094947017729001e-13,387000.0,-3928.289550781,-0.145133972168,9.313225746155e-10,0.0,-23660.548339840003,-1.189101219177,0.0,1.0,-8680.506347655999,3.309682846069,1.862645149231e-09,0.0
R01,2024-09-26 12:15:00,9.902659803629e-05,9.094947017729001e-13,388800.0,-4280.548339843999,-0.2058525085449,1.862645149231e-09,0.0,-25022.39404297,-0.31369113922120007,-9.313225746155e-10,1.0,-2464.374511719,3.552272796631,1.862645149231e-09,0.0
R01,2024-09-26 12:45:00,9.902939200401001e-05,9.094947017729001e-13,390600.0,-4521.993164062,-0.02249813079834,1.862645149231e-09,0.0,-24788.00585938,0.5647878646851,-1.862645149231e-09,1.0,3942.3842773439997,3.520093917847,1.862645149231e-09,0.0
R01,2024-09-26 13:15:00,9.903125464916002e-05,9.094947017729001e-13,392400.0,-4229.522949218999,0.3794898986816,9.313225746155e-10,0.0,-23056.38574219,1.331862449646,-2.793967723846e-09,1.0,10044.111816409999,3.2155418396,9.313225746155e-10,0.0
R01,2024-09-26 13:45:00,9.903311729431e-05,9.094947017729001e-13,394200.0,-3063.905761719,0.9336643218994001,0.0,0.0,-20118.20214844,1.891929626465,-3.725290298462e-09,1.0,15368.64892578,2.662163734436,9.313225746155e-10,0.0
R01,2024-09-26 14:15:00,9.90349799395e-05,9.09494701773e-13,396000.0,-834.5893554690001,1.54360675812,0.0,0.0,-16407.4414063,2.18347930908,-3.7252902984600004e-09,1.0,19503.9975586,1.90281867981,0.0,0.0
R01,2024-09-26 14:45:00,9.903684258460001e-05,9.09494701773e-13,397800.0,2460.28710937,2.09905719757,-9.31322574615e-10,0.0,-12430.4545898,2.18863010406,-2.79396772385e-09,1.0,22130.2749023,0.9963226318360001,0.0,0.0
