satelite_id,Datetime,a0,a1,a2,AODE,C_rs,Delta n,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,Spare1,BDT Week,Spare2,SV accurracy,SatH1,TGD1,TGD2,t_tm,AODC
C01,2024-10-02 00:00:00,0.000927095185034,3.05711012061e-12,0.0,1.0,-433.92187499999994,1.4043442108600001e-09,-1.79215866688,-1.4090444892600001e-05,0.00033357739448500005,2.94744968414e-05,6493.37552071,259200.0,6.14672899246e-08,2.84275702472,-7.40401446819e-08,0.078854972489,-911.2031249999999,1.5220455444,-3.9215919214700004e-10,-1.20719314158e-10,0.0,977.9999999999999,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,259200.0,0.0
C01,2024-10-02 01:00:00,0.0009271062444900001,3.0579982990299998e-12,0.0,1.0,138.078125,9.100379067320001e-10,-1.53274487666,4.397705197329999e-06,0.000333482632414,3.26931476593e-05,6493.373023990001,262800.0,-2.3283064365400003e-09,3.13109204998,-9.31322574615e-08,0.0712203043944,-1010.6875,1.23700869282,1.23219418298e-10,-1.25005206969e-10,0.0,977.9999999999999,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,262800.0,0.0
C01,2024-10-02 02:00:00,0.0009271171875300001,3.06066283429e-12,0.0,1.0,703.796875,2.28580949885e-10,-1.26114265133,2.27377749979e-05,0.000334927928634,2.24458053708e-05,6493.3811264000005,266400.0,-9.918585419650001e-08,-2.82846465741,-8.288770914080001e-08,0.0645198236011,-690.34375,0.904558729199,7.47173979938e-10,-1.10361739867e-10,0.0,977.9999999999999,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,266400.0,0.0
C01,2024-10-02 03:00:00,0.0009271283634010001,3.07398551058e-12,0.0,1.0,950.59375,-9.90398396926e-10,-0.9871530636650001,3.08714807034e-05,0.000338184647262,4.875473678109999e-07,6493.39331818,270000.0,-1.2293457984899999e-07,-2.46671250464,-4.61004674435e-08,0.0595969389546,-9.09375,0.531647004295,1.8807926282800003e-09,-6.893144269979999e-11,0.0,977.9999999999999,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,270000.0,0.0
C01,2024-10-02 04:00:00,0.0009271391900259999,3.04645197957e-12,0.0,1.0,657.765625,-2.20009164265e-09,-0.7202411789930001,2.1528452634800004e-05,0.000340278726071,-2.19140201807e-05,6493.39953613,273600.0,-9.63918864727e-08,-2.07520877623,-3.4924596548100006e-08,0.0572804769332,679.46875,0.136088188391,3.0511985232400003e-09,5.71452374714e-12,0.0,977.9999999999999,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,273600.0,0.0
C01,2024-10-02 05:00:00,0.000927150133066,3.0366820169499997e-12,0.0,1.0,-7.390625,-2.34974073328e-09,-0.459421648847,-7.68341124058e-08,0.00033853121567500004,-3.04779969156e-05,6493.39511299,277200.0,-8.98726284504e-08,-1.67657148914,-6.984919309620001e-09,0.05804358620550001,937.1874999999999,-0.260507407796,3.2362062295500004e-09,9.32181686252e-11,0.0,977.9999999999999,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,277200.0,0.0
C01,2024-10-02 06:00:00,0.0009271611925209999,3.05355740693e-12,0.0,1.0,-597.140625,-1.5786371851500001e-09,-0.198029741762,-1.9404571503400003e-05,0.000333721400239,-2.1872576326100003e-05,6493.383489610001,280800.0,-7.869675755500001e-08,-1.29759019613,3.25962901115e-08,0.061723678056100004,668.703125,-0.638036571756,2.5458203293500005e-09,1.71435712414e-10,0.0,977.9999999999999,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,280800.0,0.0
C01,2024-10-02 07:00:00,0.0009271721355620001,3.0579982990299998e-12,0.0,1.0,-826.03125,-5.18593030053e-10,0.06732394936420001,-2.7073547244100004e-05,0.00032833695877300005,-4.70830127597e-06,6493.37033272,284400.0,-6.70552253723e-08,-0.9542780218760001,5.0757080316499997e-08,0.0676254553174,141.953125,-0.983896426618,1.5789943428800002e-09,2.33581158164e-10,0.0,977.9999999999999,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,284400.0,0.0
C01,2024-10-02 08:00:00,0.000927183427848,3.0855318300399997e-12,0.0,1.0,-727.125,4.06088343781e-10,0.333338017804,-2.39457003772e-05,0.000325715518557,1.1508818715800001e-05,6493.36346626,288000.0,-7.12461769581e-08,-0.6486419539470001,4.47034835815e-08,0.0748800967937,-351.6875,-1.29279741756,7.01814947695e-10,2.8001166361e-10,0.0,977.9999999999999,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,288000.0,0.0
C01,2024-10-02 09:00:00,0.0009271942544730001,3.06066283429e-12,0.0,1.0,-447.65625,1.08254509235e-09,0.593821480557,-1.4778226614000002e-05,0.000326301669702,2.2259540855900005e-05,6493.3656082200005,291600.0,-9.03382897377e-08,-0.375051739988,2.51457095146e-08,0.0827077003763,-677.25,-1.56419516205,1.1071889760099999e-11,3.12155859687e-10,0.0,977.9999999999999,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,291600.0,0.0
C01,2024-10-02 10:00:00,0.000927205430344,3.0730973321600002e-12,0.0,1.0,-108.296875,1.5714940304600002e-09,0.8472254614040001,-3.61632555723e-06,0.000328218797222,2.66903080046e-05,6493.37418175,295200.0,-1.09896063805e-07,-0.126166009424,4.19095158577e-09,0.0904951102846,-810.6249999999999,-1.80389411525,-5.2859344661e-10,3.28942273195e-10,0.0,977.9999999999999,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,295200.0,0.0
C01,2024-10-02 11:00:00,0.000927216606215,3.09086090056e-12,0.0,1.0,212.65625,1.96793911542e-09,1.09616601629,6.9532543420799995e-06,0.00032978085801,2.5547575205600003e-05,6493.385606770001,298800.0,-1.1548399925199999e-07,0.10449206177100001,-4.19095158577e-09,0.09778055496400001,-774.921875,-2.02099292249,-9.91112712394e-10,3.28227957726e-10,0.0,977.9999999999999,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,298800.0,0.0
C01,2024-10-02 12:00:00,0.0009272278985010001,3.1068481121099996e-12,0.0,1.0,486.359375,2.3322400043e-09,1.3493827363,1.58823095262e-05,0.000330037553795,2.01561488211e-05,6493.39305115,302400.0,-1.01514160633e-07,0.32198839505800003,-5.58793544769e-09,0.10421879160000001,-610.53125,-2.22929636342,-1.38648632415e-09,3.12155859687e-10,0.0,977.9999999999999,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,302400.0,0.0
