satelite_id,Datetime,a0,a1,a2,IODEC,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,Spare1,IRN Week,Spare2,User Range accurracy,Health,TGD,Spare3,t_tm
I02,2024-10-12 23:50:24,0.000450731720775,1.83035808732e-11,0.0,160.0,-11.4375,4.6573368539200004e-09,-0.0127414795795,-4.954636096949999e-07,0.00200290919747,-6.1318278312699995e-06,6493.47038078,604224.0,-1.52736902237e-07,-2.16943410964,-3.72529029846e-08,0.509556844745,271.25,-3.0614488532,-4.19874632321e-09,-3.7537277864e-10,0.0,2335.0,,2.0,0.0,-1.8626451492300002e-09,,604572.0
I02,2024-10-13 00:00:00,0.00045074243098500004,1.83035808732e-11,0.0,0.0,-9.875,4.6459078064200005e-09,0.0292492095698,-4.507601261139999e-07,0.00200347648934,-6.31809234619e-06,6493.47174644,0.0,-1.52736902237e-07,-2.28985178289,-3.72529029846e-08,0.509556635548,277.3125,-3.06143573375,-4.19731769227e-09,-3.7537277864e-10,0.0,2336.0,,2.0,0.0,-1.8626451492300002e-09,,12.0
I02,2024-10-13 00:05:36,0.0004507442936300001,1.50066625793e-11,0.0,161.0,-8.625,4.64019328268e-09,0.0537082006821,-4.1350722312899993e-07,0.0020035888301200002,-6.42612576485e-06,6493.47182083,336.0,-1.52736902237e-07,-2.28985320192,-3.72529029846e-08,0.50955642635,280.9375,-3.06139237139,-4.19731769227e-09,-3.7537277864e-10,0.0,2336.0,,2.0,0.0,-1.8626451492300002e-09,,732.0
I02,2024-10-13 00:20:48,0.00045075826346870003,1.5688783605579997e-11,0.0,162.0,-3.9375,4.624478342371e-09,0.1201704649651,-2.719461917877e-07,0.002004852169193,-6.731599569321e-06,6493.475103377999,1248.0,-1.564621925354e-07,-2.289857011359,-3.725290298462e-08,0.5095562113015001,290.9375,-3.061348827638,-4.200174954146e-09,-3.753727786401e-10,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,1548.0
I02,2024-10-13 00:36:00,0.00045077316463,1.5916157281e-11,0.0,163.0,2.5625,4.61304929488e-09,0.186562507717,-8.19563865662e-08,0.00200598570518,-7.0221722126e-06,6493.477987290001,2160.0,-1.63912773132e-07,-2.28986089687,-4.09781932831e-08,0.509555738779,300.5625,-3.0612349658,-4.2073181088300005e-09,-3.75015620906e-10,0.0,2336.0,,2.0,0.0,-1.8626451492300002e-09,,2316.0
I02,2024-10-13 00:50:24,0.0004507857374850001,1.48929757415e-11,0.0,164.0,10.1875,4.6030488783200004e-09,0.24943551712200002,1.41561031342e-07,0.0020065670833000005,-7.2754919529e-06,6493.47915077,3024.0,-1.71363353729e-07,-2.28986454392,-4.842877388e-08,0.509555434492,308.8125,-3.06110234057,-4.21731852539e-09,-3.73586989969e-10,0.0,2336.0,,2.0,0.0,-1.8626451492300002e-09,,3228.0
I02,2024-10-13 01:05:36,0.0004508020356300001,1.69393388205e-11,0.0,165.0,19.375,4.5973343545700004e-09,0.315734095501,4.1350722312899993e-07,0.00200782250613,-7.499009370799999e-06,6493.482559200001,3936.0,-1.82539224625e-07,-2.28986852452,-6.33299350739e-08,0.5095549268590001,316.0625,-3.06089511384,-4.23160483476e-09,-3.71444043564e-10,0.0,2336.0,,2.0,0.0,-1.8626451492300002e-09,,4140.0
I02,2024-10-13 01:20:48,0.000450833234936,1.671196514508e-11,0.0,166.0,29.125,4.5973343545720006e-09,0.3820096928999,7.003545761107999e-07,0.002008796436712,-7.674098014832e-06,6493.485393524,4848.0,-1.9371509551999997e-07,-2.289873372634,-8.940696716309e-08,0.5095546254983,321.5625,-3.060664177588,-4.2487484059970004e-09,-3.6715815075360003e-10,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,5052.0
I02,2024-10-13 01:36:00,0.000450846739113,1.47792889038e-11,0.0,167.0,38.875,4.59876298551e-09,0.448311151765,9.946525096889999e-07,0.00200930703431,-7.79703259468e-06,6493.48670387,5760.0,-1.9744038581799999e-07,-2.28987729325,-1.19209289551e-07,0.509554302193,325.25,-3.06045985475,-4.270177870050001e-09,-3.61800784741e-10,0.0,2336.0,,2.0,0.0,-1.8626451492300002e-09,,5916.0
I02,2024-10-13 01:50:24,0.000450861174613,1.69393388205e-11,0.0,168.0,47.5,4.60590614019e-09,0.5111266875070001,1.2554228305799998e-06,0.0020101092523,-7.860362529749999e-06,6493.488929749999,6624.0,-1.9371509551999997e-07,-2.28988115682,-1.49011611938e-07,0.509553886725,327.0625,-3.06027021668,-4.2930359650399996e-09,-3.55371945525e-10,0.0,2336.0,,2.0,0.0,-1.8626451492300002e-09,,6828.0
I02,2024-10-13 02:05:36,0.000450877472758,1.77351466846e-11,0.0,169.0,55.5625,4.61590655675e-09,0.5773904542870001,1.50129199028e-06,0.00201077200472,-7.88643956184e-06,6493.49099541,7536.0,-1.82539224625e-07,-2.28988521642,-1.8998980522199998e-07,0.5095535005140001,327.5625,-3.06002839632,-4.3187513219e-09,-3.46085844436e-10,0.0,2336.0,,2.0,0.0,-1.8626451492300002e-09,,7740.0
I02,2024-10-13 02:20:48,0.00045089190825800004,1.63709046319e-11,0.0,170.0,62.0625,4.63019286612e-09,0.643684114336,1.7024576663999998e-06,0.0020110886544,-7.87898898125e-06,6493.492103580001,8448.0,-1.60187482834e-07,-2.28988942962,-2.27242708206e-07,0.509553058713,326.9375,-3.05981620151,-4.34446667876e-09,-3.3537111241e-10,0.0,2336.0,,2.0,0.0,-1.8626451492300002e-09,,8652.0
