satelite_id,Datetime,a0,a1,a2,IODEC,C_rs,Delta n,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,Spare1,IRN Week,Spare2,User Range accurracy,Health,TGD,Spare3,t_tm
I02,2024-10-08 23:50:24,0.00044477451592680003,1.7053025658239997e-11,0.0,160.0,330.5,3.03869800254e-09,-0.1150837334937,1.0706484317780002e-05,0.0019546680850910003,1.0099261999130002e-05,6493.346733093001,258624.0,-1.4901161193850002e-08,-2.168208285229,1.7136335372919998e-07,0.5022825240947001,-217.0,-3.028668036501,-2.720113303637e-09,-5.385938631677e-10,0.0,2335.0,,2.0,0.0,-1.862645149231e-09,,258912.0
I02,2024-10-09 00:05:36,0.00044479081407190003,1.796252036002e-11,0.0,161.0,330.0,3.0658419903390003e-09,-0.048581255055700004,1.0695308446880001e-05,0.001954165520146,1.023709774017e-05,6493.345464706,259536.0,-4.0978193283079996e-08,-2.168210780968,1.676380634308e-07,0.5022819096691,-221.8125,-3.028662192143,-2.7401141367520003e-09,-5.382367054335e-10,0.0,2335.0,,2.0,0.0,-1.862645149231e-09,,259920.00000000003
I02,2024-10-09 00:20:48,0.0004448061808944,1.6370904631909997e-11,0.0,162.0,328.0625,3.097271870948e-09,0.01793507867945,1.0639429092410001e-05,0.00195387378335,1.0449439287190002e-05,6493.345138549999,260448.0,-6.705522537231e-08,-2.168213326445,1.564621925354e-07,0.5022812937806,-229.0,-3.028670077271,-2.761543600804e-09,-5.368080744967e-10,0.0,2335.0,,2.0,0.0,-1.862645149231e-09,,260688.0
I02,2024-10-09 00:36:00,0.0004448220133781,1.773514668457e-11,0.0,163.0,324.125,3.1329876443680002e-09,0.08450598072187,1.0527670383450001e-05,0.0019528932170940001,1.071020960808e-05,6493.34261322,261360.0,-8.940696716309e-08,-2.168215909959,1.415610313416e-07,0.5022806369303,-237.9375,-3.028732573132,-2.782973064856e-09,-5.346651280915e-10,0.0,2335.0,,2.0,0.0,-1.862645149231e-09,,261504.0
I02,2024-10-09 00:50:24,0.0004448369145393001,1.693933882052e-11,0.0,164.0,318.125,3.1687034177880003e-09,0.1475840093178,1.0356307029720001e-05,0.0019520882051440001,1.098588109016e-05,6493.340820312999,262224.0,-1.0430812835689999e-07,-2.168218370587,1.192092895508e-07,0.5022801146686,-247.25,-3.028802464043,-2.8029738979710003e-09,-5.318078662179999e-10,0.0,2335.0,,2.0,0.0,-1.862645149231e-09,,262464.0
I02,2024-10-09 01:05:36,0.00044485181570050005,1.659827830736e-11,0.0,165.0,309.375,3.2072764530810003e-09,0.21424768816189999,1.0102987289430002e-05,0.001950642326847,1.1283904314040001e-05,6493.336999892999,263136.0,-1.1548399925229999e-07,-2.168221028709,9.685754776001e-08,0.5022794958542,-257.125,-3.028957381216,-2.822974731086e-09,-5.28236288876e-10,0.0,2335.0,,2.0,0.0,-1.862645149231e-09,,263328.0
I02,2024-10-09 01:20:48,0.00044486811384560006,1.762145984685e-11,0.0,166.0,298.625,3.2501353811840005e-09,0.2810093927577,9.786337614059e-06,0.001949497498572,1.1567026376720001e-05,6493.334121704,264048.0,-1.229345798492e-07,-2.168223678054,7.450580596924e-08,0.5022788989837,-266.375,-3.029210640131,-2.845832826074e-09,-5.250218692682e-10,0.0,2335.0,,2.0,0.0,-1.862645149231e-09,,264240.0
I02,2024-10-09 01:36:00,0.0004448820836842,1.614353095647e-11,0.0,167.0,285.75,3.287279785541e-09,0.3477402561146,9.406358003616001e-06,0.001948284101672,1.180917024612e-05,6493.3310260769995,264960.0,-1.192092895508e-07,-2.168226350805,5.2154064178470006e-08,0.5022783737961001,-273.9375,-3.029432463862,-2.8615477663790004e-09,-5.203788187237001e-10,0.0,2335.0,,2.0,0.0,-1.862645149231e-09,,265104.0
I02,2024-10-09 01:50:24,0.0004448969848454001,1.68256519828e-11,0.0,168.0,272.4375,3.3187096661500003e-09,0.41105363311950005,9.007751941681e-06,0.0019471559207889998,1.1980533599850002e-05,6493.327995299999,265824.0,-1.1548399925229999e-07,-2.168228903597,3.3527612686160006e-08,0.5022778676264,-279.25,-3.02973733599,-2.8729768138730005e-09,-5.164500836475e-10,0.0,2335.0,,2.0,0.0,-1.862645149231e-09,,266016.0
I02,2024-10-09 02:05:36,0.0004449104890227,1.52340362547e-11,0.0,169.0,258.0,3.348710915822e-09,0.47796825215340005,8.568167686462001e-06,0.00194585788995,1.20997428894e-05,6493.324180603,266736.0,-1.0430812835689999e-07,-2.168231570497,2.2351741790770002e-08,0.502277374623,-282.5625,-3.030142905158,-2.8815485994940006e-09,-5.125213485714001e-10,0.0,2335.0,,2.0,0.0,-1.862645149231e-09,,266928.0
I02,2024-10-09 02:20:48,0.00044492492452260005,1.5575096767859997e-11,0.0,170.0,244.0,3.3729976417480002e-09,0.5448384131068,8.136034011841e-06,0.0019449706887830001,1.2148171663280002e-05,6493.321594238,267648.0,-9.313225746155001e-08,-2.168234314931,1.4901161193850002e-08,0.5022768289546,-283.4375,-3.030503861176,-2.885834492304e-09,-5.093069289636e-10,0.0,2335.0,,2.0,0.0,-1.862645149231e-09,,267840.0
I02,2024-10-09 02:36:00,0.00044493936002250003,1.5688783605579997e-11,0.0,171.0,231.25,3.3901412129890004e-09,0.6117402330705,7.72625207901e-06,0.001944110845216,1.213327050209e-05,6493.318834305,268560.0,-8.568167686462001e-08,-2.168236895518,1.4901161193850002e-08,0.5022764003196001,-282.125,-3.030896505462,-2.8886917541780004e-09,-5.071639825584e-10,0.0,2335.0,,2.0,0.0,-1.862645149231e-09,,268752.0
I02,2024-10-09 02:50:24,0.000444953329861,1.56887836056e-11,0.0,172.0,220.8125,3.4015702604800003e-09,0.67511669988,7.37980008125e-06,0.00194330862723,1.2066215276700001e-05,6493.31611443,269424.0,-8.19563865662e-08,-2.16823944538,1.86264514923e-08,0.502275923408,-279.375,-3.03126395684,-2.88726312324e-09,-5.06806824824e-10,0.0,2335.0,,2.0,0.0,-1.8626451492300002e-09,,269628.0
